wine_fest_name,vivino_name,winery,rating,num_ratings,match_confidence
Dona Paula Estate Cabernet Sauvignon,Estate Cabernet Sauvignon,Doña Paula,3.6,3981,0.9722222222222222
Dona Paula Estate Black Edition,Estate Black Edition Red,Doña Paula,3.7,9141,0.9090909090909091
Duckhorn Decoy Sonoma County Chardonnay,,,0.0,0,0.0
Duckhorn Migration Sonoma Coast Pinot Noir,,,0.0,0,0.0
Calera Central Coast Chardonnay,Chardonnay,Calera,3.7,1995,0.7083333333333334
Calera Central Coast Pinot Noir,Pinot Noir,Calera,3.8,4904,0.7083333333333334
EastDell Riesling,Riesling,EastDell,3.6,54,1.0
EastDell Summer Rosé,Summer Rosé,EastDell,3.5,76,1.0
EastDell Gamay Noir,Gamay Noir,EastDell,3.3,101,1.0
Lakeview Cellars Vidal Icewine Icewine,Lakeview Monterey County Syrah,Ronan Cellars,4,2,0.2682926829268293
Dr. Zenzen Noblesse Gewurztraminer,Noblesse Rivaner Trocken,Dr. Zenzen,3,4,0.6956521739130435
Dr. Zenzen Pinot Blanc,Pinot Blanc Feinherb,Dr. Zenzen,4.4,20,0.8301886792452831
Dr. Zenzen Elite Riesling,Elite Edition Riesling,Dr. Zenzen,3.2,12,0.8620689655172413
Dr. Zenzen Elite Pinot Noir,Elite Edition Riesling,Dr. Zenzen,3.2,12,0.6333333333333333
Fetzer Shaly Loam Gewuztraminer,Shaly Loam Gewürztraminer,Fetzer,3.8,6826,0.9523809523809523
Fetzer Valley Oaks Cabernet Sauvignon,Valley Oaks Cabernet Sauvignon,Fetzer,3.4,7641,1.0
1000 Stories Zinfandel,Zinfandel,1000 Stories,4.1,25452,1.0
Bonterra Cabernet Sauvignon,Cabernet Sauvignon,Bonterra,3.6,13683,1.0
Enchanted 2017,Enchanted,The Foreign Affair,3.7,64,0.42857142857142855
The Conspiracy 2016,The Conspiracy,The Foreign Affair,3.7,560,0.5384615384615384
Parnasse Sauvignon Blanc,Sauvignon Blanc,Parnasse,3.6,129,1.0
Farm Hand Organic Chardonnay,Organic Chardonnay,Farm Hand,3.6,122,1.0
Farm Hand Organic Cabernet Sauvignon,Organic Cabernet,Farm Hand,3.8,126,0.8387096774193549
El Valiente Castilla Tempranillo,El Valiente Tempranillo,Elefante,3.6,229,0.71875
Les Fumes Blanche Sauvignon Blanc,Les Fumées Blanches Sauvignon Blanc Sparkling (Pétillant),François Lurton,3.7,2929,0.6226415094339622
Francois Lurton Sauvignon de Bordeaux,Terra Sana  Sauvignon Blanc Côtes de Gascogne,François Lurton,3.3,87,0.6122448979591837
Francois Lurton Villa Garros Merlot de Bordeaux,Villa Garros Bordeaux Merlot,François Lurton,3.5,101,0.7912087912087912
Hermanos Lurton Tempranillo,Tempranillo,Hermanos Lurton,3.6,890,1.0
Fat Bastard Sauvignon Blanc,Sauvignon Blanc,Fat Bastard (Thierry & Guy),3.5,744,0.7714285714285715
